id,route,start,end,track
R4,RDC5061A(M),5061,5075,"['TDAB', 'TDAC']"
R2,RDC5062A(M),5062,5077,"['TFBY', 'TFBW']"
R35,RDC5063A(M),5063,5079,"['TNGW', 'TDCB', 'TDCF', 'TDCG', 'TDCH']"
R36,RDC5063B(M),5063,5081,"['TNGW', 'TDCB', 'TDCF', 'TFDU', 'TDCS', 'TFDR', 'TFDP']"
R206,RDC5063C(M),5063,5491,"['TNGW', 'TDCB', 'TDCF', 'TFDU', 'TFDS', 'TEDB', 'TEDC', 'TEDG', 'TEDH', 'TEDJ']"
R207,RDC5063D(M),5063,5493,"['TNGW', 'TDCB', 'TDCF', 'TFDU', 'TFDS', 'TEDB', 'TEDC', 'TGAS', 'TGAR', 'TGAM']"
R39,RDC5064A(M),5064,5079,"['TRJS', 'TDCB', 'TDCF', 'TDCG', 'TDCH']"
R40,RDC5064B(M),5064,5081,"['TRJS', 'TDCB', 'TDCF', 'TFDU', 'TFDS', 'TFDR', 'TFDP']"
R208,RDC5064C(M),5064,5491,"['TRJS', 'TDCB', 'TDCF', 'TFDU', 'TFDS', 'TEDB', 'TEDC', 'TEDG', 'TEDH', 'TEDJ']"
R209,RDC5064D(M),5064,5493,"['TRJS', 'TDCB', 'TDCF', 'TFDU', 'TFDS', 'TEDB', 'TEDC', 'TGAS', 'TGAR', 'TGAM']"
R43,RDC5065A(M),5065,5079,"['TDCA', 'TDCB', 'TDCF', 'TDCG', 'TDCH']"
R44,RDC5065B(M),5065,5081,"['TDCA', 'TDCB', 'TDCF', 'TFDU', 'TDCS', 'TFDR', 'TFDP']"
R210,RDC5065C(M),5065,5491,"['TDCA', 'TDCB', 'TDCF', 'TFDU', 'TFDS', 'TEDB', 'TEDC', 'TEDG', 'TEDH', 'TEDJ']"
R211,RDC5065D(M),5065,5493,"['TDCA', 'TDCB', 'TDCF', 'TFDU', 'TFDS', 'TEDB', 'TEDC', 'TGAS', 'TGAR', 'TGAM']"
R47,RDC5066A(M),5066,5081,"['TFDY', 'TFDW', 'TFDU', 'TFDS', 'TFDR']"
R212,RDC5066B(M),5066,5491,"['TFDY', 'TFDW', 'TFDU', 'TFDS', 'TEDB', 'TEDC', 'TEDG', 'TEDH', 'TEDJ']"
R213,RDC5066C(M),5066,5493,"['TFDY', 'TFDW', 'TFDU', 'TFDS', 'TEDB', 'TEDC', 'TGAS', 'TGAR', 'TGAM']"
R116,RDC5075A(M),5075,5083,"['TDAE', 'TDAF']"
R353,RDC5076A(C),5076,5480,"['TFDR', 'TFDS', 'TFDU', 'TFDW', 'TFDY', 'TECW']"
R117,RDC5076A(M),5076,5480,"['TFDR', 'TFDS', 'TFDU', 'TFDW', 'TFDY', 'TECW', 'TGAU', 'TGAW']"
,RDC5076B(C),5076,5484,"['TFDR', 'TFDS', 'TFDU', 'TFDW', 'TFDY', 'TECW']"
R118,RDC5076B(M),5076,5484,"['TFDR', 'TFDS', 'TFDU', 'TFDW', 'TFDY', 'TECW', 'TECV', 'TECS']"
,RDC5076C(C),5076,5056,"['TFDR', 'TFDS', 'TFDU', 'TFDW', 'TFDY']"
R119,RDC5076C(M),5076,5056,"['TFDR', 'TFDS', 'TFDU', 'TFDW', 'TFDY', 'TFML', 'TFMN', 'TFMP']"
,RDC5076D(C),5076,5055,"['TFDR', 'TFDS', 'TFDU', 'TDCF', 'TDCB', 'TDCA', 'TDPK']"
R120,RDC5076D(M),5076,5055,"['TFDR', 'TFDS', 'TFDU', 'TDCF', 'TDCB', 'TDCA', 'TDPK', 'TDPJ', 'TDPG']"
,RDC5076E(C),5076,5054,"['TFDR', 'TFDS', 'TFDU', 'TDCF', 'TDCB', 'TRJS', 'TRJV']"
R121,RDC5076E(M),5076,5054,"['TFDR', 'TFDS', 'TFDU', 'TDCF', 'TDCB', 'TRJS', 'TRJV', 'TRJW', 'TRJY']"
,RDC5076F(C),5076,5053,"['TFDR', 'TFDS', 'TFDU', 'TDCF', 'TDCB', 'TNGW', 'TNGU']"
R122,RDC5076F(M),5076,5053,"['TFDR', 'TFDS', 'TFDU', 'TDCF', 'TDCB', 'TNGW', 'TNGU', 'TNGS', 'TNGR']"
R123,RDC5077A(M),5077,5085,"['TFBU', 'TFBR']"
,RDC5078A(C),5078,5055,"['TDCG', 'TDCF', 'TDCB', 'TDCA', 'TDPK']"
R124,RDC5078A(M),5078,5055,"['TDCG', 'TDCF', 'TDCB', 'TDCA', 'TDPK', 'TDPJ', 'TDPG']"
R354,RDC5078B(C),5078,5054,"['TDCG', 'TDCF', 'TDCB', 'TRJS', 'TRJV']"
R125,RDC5078B(M),5078,5054,"['TDCG', 'TDCF', 'TDCB', 'TRJS', 'TRJV', 'TRJW', 'TRJY']"
R323,RDC5078C(C),5078,5053,"['TDCG', 'TDCF', 'TDCB', 'TNGW', 'TNGU']"
R126,RDC5078C(M),5078,5053,"['TDCG', 'TDCF', 'TDCB', 'TNGW', 'TNGU', 'TNGS', 'TNGR']"
R127,RDC5079A(M),5079,5087,"['TDCH', 'TDCK']"
,RDC5080A(C),5080,5302,"['TFBW', 'TFBY']"
R128,RDC5080A(M),5080,5302,"['TFBW', 'TFBY', 'TYTS', 'TYTV', 'TYTW']"
