routename,routeid,start,end,length,ave_speed(m/s),ave_grad,gap_time(s),track,path
R4,DC5061A(M),DC5061,DC5075,2093.676093,27.73237567,1.269060582,82.68491026,"['TDAB', 'TDAC']","['P826', 'P991', 'P264', 'P265', 'P266', 'P267', 'P268', 'P1654', 'P999', 'P1531', 'P1535', 'P1003', 'P831']"
R2,DC5062A(M),DC5062,DC5077,2093.567985,23.51713188,1.270937917,92.4804259,"['TFBY', 'TFBW']","['P827', 'P992', 'P270', 'P271', 'P272', 'P273', 'P274', 'P275', 'P1656', 'P1526', 'P1000', 'P1532', 'P1004', 'P833']"
R35,DC5063A(M),DC5063,DC5079,2195.246138,21.30900931,1.21253348,120.5608438,"['TNGW', 'TDCB', 'TDCG']","['P821', 'P995', 'P997', 'P282', 'P283', 'P284', 'P289', 'P285', 'P286', 'P1657', 'P1658', 'P1001', 'P329', 'P1527', 'P1533', 'P1005', 'P835']"
R36,DC5063B(M),DC5063,DC5081,2215.231199,18.88587734,1.202117587,139.5800597,"['TNGW', 'TDCB', 'TDCG', 'TFDU', 'TFDR']","['P821', 'P995', 'P997', 'P282', 'P283', 'P284', 'P289', 'P285', 'P286', 'P1657', 'P1658', 'P1001', 'P330', 'P331', 'P1298', 'P1299', 'P333', 'P332', 'P420', 'P1529', 'P1534', 'P1006', 'P837']"
R206,DC5063C(M),DC5063,EC5491,2005.526579,11.25041502,-0.189912073,218.5618059,"['TNGW', 'TDCB', 'TDCG', 'TFDU', 'TFDR', 'TEDC', 'TEDG', 'TEDH', 'TEDJ']","['P821', 'P995', 'P997', 'P282', 'P283', 'P284', 'P289', 'P285', 'P286', 'P1657', 'P1658', 'P1001', 'P330', 'P331', 'P1298', 'P1299', 'P333', 'P332', 'P421', 'P1530', 'P1542', 'P422', 'P423', 'P1300', 'P355', 'P1053', 'P1062', 'P1056', 'P828', 'P1536', 'P1064', 'P1538', 'P1541']"
R207,DC5063D(M),DC5063,EC5493,2123.618133,10.85580628,-0.178188983,245.7254296,"['TNGW', 'TDCB', 'TDCG', 'TFDU', 'TFDR', 'TEDC', 'TGAS', 'TGAR', 'TGAM']","['P821', 'P995', 'P997', 'P282', 'P283', 'P284', 'P289', 'P285', 'P286', 'P1657', 'P1658', 'P1001', 'P330', 'P331', 'P1298', 'P1299', 'P333', 'P332', 'P421', 'P1530', 'P1542', 'P422', 'P423', 'P1300', 'P355', 'P1672', 'P425', 'P426', 'P427', 'P1063', 'P1055', 'P829', 'P1537', 'P1539', 'P1054', 'P1540', 'P428', 'P429', 'P430', 'P431']"
R39,DC5064A(M),DC5064,DC5079,2172.721609,21.41405786,1.225103772,118.5454064,"['TRJS', 'TDCB', 'TDCG']","['P822', 'P996', 'P998', 'P288', 'P290', 'P289', 'P285', 'P286', 'P1657', 'P1658', 'P1001', 'P329', 'P1527', 'P1533', 'P1005', 'P835']"
R40,DC5064B(M),DC5064,DC5081,2192.706671,18.96507688,1.214466312,137.5646223,"['TRJS', 'TDCB', 'TDCG', 'TFDU', 'TFDR']","['P822', 'P996', 'P998', 'P288', 'P290', 'P289', 'P285', 'P286', 'P1657', 'P1658', 'P1001', 'P330', 'P331', 'P1298', 'P1299', 'P333', 'P332', 'P420', 'P1529', 'P1534', 'P1006', 'P837']"
R208,DC5064C(M),DC5064,EC5491,1983.00205,11.25126029,-0.192069247,216.5463685,"['TRJS', 'TDCB', 'TDCG', 'TFDU', 'TFDR', 'TEDC', 'TEDG', 'TEDH', 'TEDJ']","['P822', 'P996', 'P998', 'P288', 'P290', 'P289', 'P285', 'P286', 'P1657', 'P1658', 'P1001', 'P330', 'P331', 'P1298', 'P1299', 'P333', 'P332', 'P421', 'P1530', 'P1542', 'P422', 'P423', 'P1300', 'P355', 'P1053', 'P1062', 'P1056', 'P828', 'P1536', 'P1064', 'P1538', 'P1541']"
R209,DC5064D(M),DC5064,EC5493,2101.093605,10.85237368,-0.180099237,243.7099922,"['TRJS', 'TDCB', 'TDCG', 'TFDU', 'TFDR', 'TEDC', 'TGAS', 'TGAR', 'TGAM']","['P822', 'P996', 'P998', 'P288', 'P290', 'P289', 'P285', 'P286', 'P1657', 'P1658', 'P1001', 'P330', 'P331', 'P1298', 'P1299', 'P333', 'P332', 'P421', 'P1530', 'P1542', 'P422', 'P423', 'P1300', 'P355', 'P1672', 'P425', 'P426', 'P427', 'P1063', 'P1055', 'P829', 'P1537', 'P1539', 'P1054', 'P1540', 'P428', 'P429', 'P430', 'P431']"
