episode_id,focal_train,n_decisions,n_set,n_wait,n_used_routes,n_cancelled,return_,r_delay_sum,r_thru_sum,r_head_sum,r_wait_sum,first_time,duration_s,rank_kind
1Q46-17,1Q46,20,8,12,8,0,213.4,213.0,4.0,0.0,-3.5999999999999996,2024-03-18 08:49:50,1881.0,top
3Q27-21,3Q27,30,22,8,15,0,188.125,184.775,5.75,0.0,-2.4,2024-03-22 23:00:54,3772.0,top
2Q10-13,2Q10,14,7,7,7,0,179.525,178.125,3.5,0.0,-2.1,2024-02-13 09:23:28,1435.0,top
1Q55-4,1Q55,20,8,12,8,0,168.4,170.0,4.0,-2.0,-3.5999999999999996,2023-08-11 12:56:06,1460.0,top
0Z31-7,0Z31,35,25,10,25,0,137.375,128.875,12.5,-1.0,-3.0,2023-10-19 11:41:16,5380.0,top
3Q85-4,3Q85,7,5,2,4,0,92.15,91.0,1.75,0.0,-0.6,2024-03-15 21:10:26,2867.0,top
5Z99-4,5Z99,9,4,5,4,0,90.5,91.0,2.0,-1.0,-1.5,2023-09-22 13:05:23,1213.0,top
3Q19-5,3Q19,13,6,7,6,0,90.4625,90.5625,3.0,-1.0,-2.1,2023-11-18 05:03:14,2913.0,top
2Q70-4,2Q70,29,17,12,16,0,65.19285714285715,61.042857142857144,7.75,0.0,-3.5999999999999996,2024-04-14 11:02:34,2718.0,top
6O77-14,6O77,8,4,4,4,0,60.6,59.8,2.0,0.0,-1.2,2023-10-06 18:25:17,1220.0,top
6Z00-1,6Z00,15,7,8,7,0,57.67142857142857,56.57142857142858,3.5,0.0,-2.4,2023-09-27 15:18:52,1100.0,top
6M72-11,6M72,17,7,10,7,0,56.39999999999999,55.9,3.5,0.0,-3.0,2024-04-25 08:44:06,1403.0,top
6Z37-13,6Z37,19,11,8,11,0,49.495,46.394999999999996,5.5,0.0,-2.4,2023-09-11 10:48:24,2260.0,top
6M72-1,6M72,18,7,11,7,0,49.162499999999994,48.9625,3.5,0.0,-3.3,2024-03-15 08:58:26,1714.0,top
6M80-10,6M80,22,9,13,9,0,49.099999999999994,48.5,4.5,0.0,-3.9,2024-03-11 07:37:45,1251.0,top
6O77-28,6O77,8,4,4,4,0,47.400000000000006,47.6,2.0,-1.0,-1.2,2024-03-28 18:42:17,575.0,top
4Q03-46,4Q03,24,13,11,12,0,44.03484848484848,41.584848484848486,5.75,0.0,-3.3,2023-10-08 22:03:45,3148.0,top
4Z56-2,4Z56,5,1,4,1,0,42.3,43.0,0.5,0.0,-1.2,2023-05-31 09:14:47,73.0,top
6Z37-11,6Z37,16,7,9,7,0,41.8,41.0,3.5,0.0,-2.6999999999999997,2023-08-14 10:44:45,1012.0,top
5F82-127,5F82,14,5,9,5,0,41.3,41.5,2.5,0.0,-2.6999999999999997,2023-10-29 00:28:15,2210.0,top
6Z37-29,6Z37,33,14,19,14,0,-79.725,-81.02499999999999,7.0,0.0,-5.7,2024-03-26 09:11:22,6161.0,bottom
6Z38-13,6Z38,12,4,8,4,0,-75.9,-75.5,2.0,0.0,-2.4,2023-08-14 13:54:54,1061.0,bottom
0M57-31,0M57,5,1,4,1,0,-74.2,-73.5,0.5,0.0,-1.2,2023-07-27 19:46:24,79.0,bottom
5D86-131,5D86,8,3,5,3,0,-70.5,-70.5,1.5,0.0,-1.5,2023-10-29 00:55:02,1688.0,bottom
6M42-4,6M42,5,4,1,3,0,-59.05,-60.0,1.25,0.0,-0.3,2023-07-18 02:04:34,1878.0,bottom
6U41-4,6U41,13,5,8,4,0,-58.65,-58.0,1.75,0.0,-2.4,2023-08-14 11:10:13,653.0,bottom
5C00-8,5C00,11,4,7,4,0,-56.35,-56.25,2.0,0.0,-2.1,2023-04-10 04:35:11,761.0,bottom
5B41-11,5B41,11,3,8,3,0,-54.733333333333334,-53.833333333333336,1.5,0.0,-2.4,2023-09-17 16:21:15,757.0,bottom
5D86-214,5D86,8,3,5,3,0,-53.157142857142865,-53.157142857142865,1.5,0.0,-1.5,2024-03-31 00:47:19,535.0,bottom
5M57-13,5M57,21,10,11,10,0,-52.27142857142857,-53.971428571428575,5.0,0.0,-3.3,2023-11-12 15:31:28,3106.0,bottom
5F85-82,5F85,9,2,7,2,0,-50.93333333333334,-48.83333333333333,1.0,-1.0,-2.1,2023-08-13 00:09:11,926.0,bottom
6O04-2,6O04,7,4,3,4,0,-49.300000000000004,-50.4,2.0,0.0,-0.8999999999999999,2023-05-12 18:18:49,233.0,bottom
6M49-3,6M49,17,5,12,5,0,-46.42142857142857,-45.32142857142857,2.5,0.0,-3.5999999999999996,2023-09-04 09:43:53,1731.0,bottom
6M49-11,6M49,16,4,12,4,0,-46.225,-44.625,2.0,0.0,-3.5999999999999996,2023-11-03 09:42:24,752.0,bottom
6O77-20,6O77,26,12,14,12,0,-45.43888888888889,-47.23888888888889,6.0,0.0,-4.2,2023-11-24 18:01:12,4329.0,bottom
1Z20-9,1Z20,7,3,4,3,0,-44.7,-45.0,1.5,0.0,-1.2,2023-11-10 15:52:54,386.0,bottom
0M60-5,0M60,8,3,5,3,0,-44.190000000000005,-44.19,1.5,0.0,-1.5,2023-06-06 15:48:29,524.0,bottom
3Q08-2,3Q08,2,2,0,2,0,-44.0,-45.0,1.0,0.0,0.0,2023-06-03 06:21:20,9.0,bottom
6Z37-12,6Z37,6,4,2,4,0,-43.9375,-45.3375,2.0,0.0,-0.6,2023-08-14 11:57:17,256.0,bottom
3Q38-6,3Q38,15,6,9,6,0,-43.8,-44.1,3.0,0.0,-2.6999999999999997,2024-01-27 05:42:19,3028.0,bottom
